name,pod5_dir,bam_dir
BT-33_FF,20250616_BT_STUDY_RUN_5/BT-33_FF/20250616_1000_P2S-02853-B_PBE51207_d56f7120/pod5,20250616_BT_STUDY_RUN_5/BT-33_FF/20250616_1000_P2S-02853-B_PBE51207_d56f7120/pod5/basecalling
BT-67_FF,20250616_BT_STUDY_RUN_5/BT-67_FF/20250616_1000_P2S-02853-A_PBE43663_7102bc0e/pod5,20250616_BT_STUDY_RUN_5/BT-67_FF/20250616_1000_P2S-02853-A_PBE43663_7102bc0e/pod5/basecalling
BT_102_FF,20250630_BT_STUDY_RUN_6/BT_102_FF/20250630_1006_P2S-02853-A_PBE42641_e95d8b8e/pod5,20250630_BT_STUDY_RUN_6/BT_102_FF/20250630_1006_P2S-02853-A_PBE42641_e95d8b8e/pod5/basecalling
BT_116_FF,20250630_BT_STUDY_RUN_6/BT_116_FF/20250630_1006_P2S-02853-B_PBE38610_4e5c958e/pod5,20250630_BT_STUDY_RUN_6/BT_116_FF/20250630_1006_P2S-02853-B_PBE38610_4e5c958e/pod5/basecalling
BT_24_FF,20250703_BT_STUDY_RUN_7/BT_24_FF/20250703_1455_P2S-02853-B_PBE38578_8fed8779/pod5,20250703_BT_STUDY_RUN_7/BT_24_FF/20250703_1455_P2S-02853-B_PBE38578_8fed8779/pod5/basecalling
Test_BT-24_FF-2SEQ,20250703_BT_STUDY_RUN_7/Test_BT-24_FF-2SEQ/20250710_1207_P2S-02853-A_PBE38578_bdcd7b8e/pod5,20250703_BT_STUDY_RUN_7/Test_BT-24_FF-2SEQ/20250710_1207_P2S-02853-A_PBE38578_bdcd7b8e/pod5/basecalling
BT_171_FF,20250703_BT_STUDY_RUN_7/BT_171_FF/20250703_1455_P2S-02853-A_PBE55729_0dc89813/pod5,20250703_BT_STUDY_RUN_7/BT_171_FF/20250703_1455_P2S-02853-A_PBE55729_0dc89813/pod5/basecalling
BT-144_FF,20250707_BT_STUDY_RUN_8/BT-144_FF/20250707_1159_P2S-02853-B_PBE57455_88974b52/pod5,20250707_BT_STUDY_RUN_8/BT-144_FF/20250707_1159_P2S-02853-B_PBE57455_88974b52/pod5/basecalling
BT-178_FF,20250707_BT_STUDY_RUN_8/BT-178_FF/20250707_1159_P2S-02853-A_PBE57466_566aad9b/pod5,20250707_BT_STUDY_RUN_8/BT-178_FF/20250707_1159_P2S-02853-A_PBE57466_566aad9b/pod5/basecalling
GNS-C282,20251023_ADULT_STUDY_RUN_17/GNS-C282/20251023_1343_P2S-02853-A_PBG64086_9372a6ef/pod5,20251023_ADULT_STUDY_RUN_17/GNS-C282/20251023_1343_P2S-02853-A_PBG64086_9372a6ef/pod5/basecalling
GNS-C292,20251023_ADULT_STUDY_RUN_17/GNS-C292/20251023_1343_P2S-02853-B_PBG64026_2b3a5da2/pod5,20251023_ADULT_STUDY_RUN_17/GNS-C292/20251023_1343_P2S-02853-B_PBG64026_2b3a5da2/pod5/basecalling
FT3465,20251027_BT_STUDY_RUN_18\FT3465\20251027_1445_P2S-02853-A_PBG64505_d1f9ea63\pod5,20251027_BT_STUDY_RUN_18\FT3465\20251027_1445_P2S-02853-A_PBG64505_d1f9ea63\pod5\basecalling
FT3477,20251027_BT_STUDY_RUN_18\FT3477\20251027_1445_P2S-02853-B_PBG62904_1311aeb9\pod5,20251027_BT_STUDY_RUN_18\FT3477\20251027_1445_P2S-02853-B_PBG62904_1311aeb9\pod5\basecalling
